clave_snp,nombre_posgrado,centro_universitario_id,nivel_academico_id,orientacion_posgrado_id,modalidad_posgrado_id
9312412,"Doctorado En Estudios Fiscales Con Orientaciones En Contabilidad, Hacienda Pública, Gestión E Intermediación",CUCEA,3,1,1
2956656,Maestría En Bioética,CUCSH,1,2,1
2966183,Especialidad En Coloproctología (Hcgjim),CUCS,2,2,1
6868,Especialidad En Dermatología Pediátrica (Idjjbr),CUCS,2,2,1
6867,Especialidad En Dermatología Pediátrica (Idjjbr),CUCS,2,2,1
6545,Especialidad En Gastroenterología Y Nutrición Pediátrica (Hcgjim),CUCS,2,2,1
6548,Especialidad En Medicina Paliativa Y Del Dolor (Hcgfaa),CUCS,2,2,1
6551,Especialidad En Neonatología (Hcgjim),CUCS,2,2,1
6869,Especialidad En Neurocirugía (Cmno-Imss),CUCS,2,2,1
7006,Especialidad En Neurocirugía (Hcgjim),CUCS,2,2,1
5713,Especialidad En Prótesis Maxilofacial,CUCS,2,2,1
2960975,Especialidad En Ginecología Y Obstetricia,CUCS,2,2,1
9805222,Doctorado En Ciencia Política,CUCIENEGA,3,1,1
99065841,Maestría En Ciencia Política,CUCIENEGA,1,1,1
9906584,Maestría En Administración De Negocios,CUCIENEGA,1,2,1
2966983,Maestría En Derecho,CUCIENEGA,1,2,1
2507951,Maestría En Tecnologías Para El Aprendizaje,CUSUR,1,2,5
2956762,Maestría En Dirección De Mercadotecnia,CUCOSTA,1,2,1
2963280,"Maestría En Administración Y Gestión Regional Con Orientaciones En: Agronegocios, Pequeñas Y Medianas Empresas, Recursos Humanos, Mercadotecnia",CUCSUR,1,2,1
2952856,Maestría En Tecnologías Para El Aprendizaje,CUNORTE,1,2,5
2951575,Maestría En Administración De Negocios,CUNORTE,1,2,1
2522977,Maestría En Derecho,CUNORTE,1,2,1
2956431,Maestría En Salud Pública,CUNORTE,1,2,1
2965492,Maestría En Ingeniería Mecatrónica,CUVALLES,1,2,6
2948090,Doctorado En Ciencias Físico Matemáticas Con Orientaciones En: Procesamiento Digital De Señales,CUVALLES,3,1,1
5652,Maestría En Gestión Del Capital Humano Y Desarrollo Organizacional,CUVALLES,1,2,1
5655,Maestría En Psicología De La Salud,CUVALLES,1,2,1
2733064,Maestría En Ciencias Físico Matemáticas Con Orientaciones En Nanociencias,CUVALLES,1,1,1
2425572,"Maestría En Ciencia Y Tecnología Con Orientaciones En: Matemáticas Aplicadas, Opto-Electrónica, Biomédica, Nanotecnología Y Materiales",CULAGOS,1,1,1
2952867,Maestría En Ingeniería En Energías Renovables,CULAGOS,1,1,1
8804753,Doctorado En Sistemas Y Ambientes Educativos,SUV,3,1,4
2521385,Maestría En Desarrollo Y Dirección De La Innovación,SUV,1,2,6
2963339,Maestría En Gestión De Gobiernos Locales,CUTONALA,1,2,1
2957182,Maestría En Ciencias En Ingeniería Del Agua Y La Energía,CUTONALA,1,1,1
9412158,Maestría En Ingeniería Del Agua Y La Energía,CUTONALA,1,2,1
2818965,Maestría En Bioética,CUTONALA,1,2,1
